Value =   , Occurrence  = 358
Value = " , Occurrence  = 6
Value = ' , Occurrence  = 6
Value = ( , Occurrence  = 1
Value = ) , Occurrence  = 1
Value = , , Occurrence  = 20
Value = - , Occurrence  = 5
Value = . , Occurrence  = 25
Value = 0 , Occurrence  = 12
Value = 1 , Occurrence  = 18
Value = 2 , Occurrence  = 15
Value = 3 , Occurrence  = 2
Value = 4 , Occurrence  = 2
Value = 5 , Occurrence  = 6
Value = 6 , Occurrence  = 8
Value = 7 , Occurrence  = 4
Value = 8 , Occurrence  = 7
Value = 9 , Occurrence  = 2
Value = : , Occurrence  = 2
Value = ; , Occurrence  = 2
Value = A , Occurrence  = 7
Value = B , Occurrence  = 6
Value = C , Occurrence  = 4
Value = D , Occurrence  = 1
Value = E , Occurrence  = 1
Value = F , Occurrence  = 1
Value = G , Occurrence  = 5
Value = H , Occurrence  = 3
Value = I , Occurrence  = 2
Value = J , Occurrence  = 3
Value = K , Occurrence  = 5
Value = L , Occurrence  = 6
Value = M , Occurrence  = 3
Value = O , Occurrence  = 1
Value = S , Occurrence  = 4
Value = T , Occurrence  = 7
Value = V , Occurrence  = 3
Value = [ , Occurrence  = 19
Value = ] , Occurrence  = 19
Value = a , Occurrence  = 134
Value = b , Occurrence  = 17
Value = c , Occurrence  = 59
Value = d , Occurrence  = 81
Value = e , Occurrence  = 242
Value = f , Occurrence  = 29
Value = g , Occurrence  = 30
Value = h , Occurrence  = 62
Value = i , Occurrence  = 132
Value = j , Occurrence  = 6
Value = k , Occurrence  = 14
Value = l , Occurrence  = 64
Value = m , Occurrence  = 67
Value = n , Occurrence  = 128
Value = o , Occurrence  = 106
Value = p , Occurrence  = 55
Value = q , Occurrence  = 3
Value = r , Occurrence  = 120
Value = s , Occurrence  = 99
Value = t , Occurrence  = 164
Value = u , Occurrence  = 59
Value = v , Occurrence  = 15
Value = w , Occurrence  = 20
Value = x , Occurrence  = 11
Value = y , Occurrence  = 22
